ID,ticker,Date,Open,High,Low,Close,Volume,Daily_Return,Return_Excel,SMA_20,SMA_50,VOL_20,Trend_20_50,Max_Close,Drawdown
1131,AAPL,5/30/25,198.951,201.536,196.367,200.428,70819900,0.00450117,0.004500576,202.9728,204.7753,0.021647306,Downtrend,257.854,-0.222707424
1132,AAPL,6/2/25,199.859,201.705,199.7,201.276,35423300,0.00423197,0.004230946,202.8041,204.53342,0.020085864,Downtrend,257.854,-0.219418741
1133,AAPL,6/3/25,200.927,203.342,200.538,202.843,46381600,0.00778381,0.00778533,203.03565,204.23976,0.018792188,Downtrend,257.854,-0.213341658
1134,AAPL,6/4/25,202.484,205.807,201.675,202.394,43604000,-0.00221371,-0.002213535,203.2637,203.88808,0.018795037,Downtrend,257.854,-0.215082954
1135,AAPL,6/5/25,203.072,204.32,199.729,200.208,55126100,-0.0107977,-0.010800715,203.49505,203.4325,0.018774777,Uptrend,257.854,-0.22356062
1136,AAPL,6/6/25,202.574,205.268,201.625,203.492,46607700,0.0163982,0.016402941,203.8288,203.08684,0.019049089,Uptrend,257.854,-0.21082473
1137,AAPL,6/9/25,203.961,205.567,199.6,201.027,72862600,-0.0121125,-0.012113498,203.9875,202.64564,0.019279522,Uptrend,257.854,-0.220384404
1138,AAPL,6/10/25,200.179,203.921,200.149,202.244,54672600,0.00605602,0.006053913,203.58235,202.34738,0.012688525,Uptrend,257.854,-0.215664678
1139,AAPL,6/11/25,203.072,204.07,197.993,198.362,60989900,-0.0191937,-0.019194636,202.8763,201.88716,0.012917847,Uptrend,257.854,-0.23071971
1140,AAPL,6/12/25,198.662,199.26,196.945,198.781,43904600,0.00211287,0.0021123,202.22115,201.4142,0.01297551,Uptrend,257.854,-0.229094759
1141,AAPL,6/13/25,199.31,199.949,195.289,196.037,51447300,-0.0138052,-0.013804136,201.4727,200.8724,0.013194122,Uptrend,257.854,-0.23973644
1142,AAPL,6/16/25,196.885,198.273,196.147,198.003,43020700,0.010028,0.010028719,200.83205,200.7825,0.013533318,Uptrend,257.854,-0.23211197
1143,AAPL,6/17/25,196.786,197.973,194.8,195.229,38856200,-0.0140107,-0.014009889,200.17645,200.93232,0.013619334,Downtrend,257.854,-0.242869996
1144,AAPL,6/18/25,195.528,197.155,194.66,196.167,45394700,0.00480471,0.004804614,199.66355,201.23882,0.013652328,Downtrend,257.854,-0.239232279
1145,AAPL,6/20/25,197.824,201.276,196.446,200.578,96813500,0.0224845,0.022485943,199.6092,201.81374,0.013832195,Downtrend,257.854,-0.222125699
1146,AAPL,6/23/25,201.206,201.875,198.542,201.077,55814300,0.00248763,0.00248781,199.6162,201.87184,0.013819791,Downtrend,257.854,-0.220190495
1147,AAPL,6/24/25,202.164,203.013,199.779,199.879,54064000,-0.00595534,-0.005957917,199.86715,202.074,0.011951633,Downtrend,257.854,-0.224836535
1148,AAPL,6/25/25,201.027,203.242,200.199,201.137,39525700,0.00629057,0.006293808,199.93455,202.14724,0.010629232,Downtrend,257.854,-0.219957806
1149,AAPL,6/26/25,201.007,202.214,199.041,200.578,50799100,-0.0027784,-0.0027792,199.9635,202.1222,0.010651176,Downtrend,257.854,-0.222125699
1150,AAPL,6/27/25,201.466,202.793,199.58,200.658,73188600,0.00039802,0.000398847,200.0199,202.10634,0.010634349,Downtrend,257.854,-0.221815446
1151,AAPL,6/30/25,201.586,206.954,198.841,204.739,91912800,0.0203402,0.020338088,200.23545,202.32896,0.011514085,Downtrend,257.854,-0.20598866
1152,AAPL,7/1/25,206.236,209.748,205.707,207.383,78788900,0.0129162,0.012914003,200.5408,202.55044,0.011797479,Downtrend,257.854,-0.195734796
1153,AAPL,7/2/25,208.471,212.892,207.703,211.994,67941800,0.0222308,0.022234224,200.99835,202.94028,0.012612886,Downtrend,257.854,-0.177852583
1154,AAPL,7/3/25,211.704,214.199,211.365,213.101,34955800,0.00522507,0.005221846,201.5337,203.22112,0.012582884,Downtrend,257.854,-0.173559456
1155,AAPL,7/7/25,212.233,215.776,208.361,209.509,50229000,-0.016858,-0.016855857,201.99875,203.33324,0.012989965,Downtrend,257.854,-0.18748982
1156,AAPL,7/8/25,209.659,210.986,208.012,209.569,42848900,0.00028579,0.000286384,202.3026,203.37142,0.012565472,Downtrend,257.854,-0.18725713
1157,AAPL,7/9/25,209.09,210.886,206.785,210.696,48749400,0.00538069,0.005377704,202.78605,203.414,0.012167016,Downtrend,257.854,-0.18288644
1158,AAPL,7/10/25,210.068,213.031,209.589,211.964,44443600,0.00601498,0.006018149,203.27205,203.4648,0.012166457,Downtrend,257.854,-0.177968928
1159,AAPL,7/11/25,210.128,211.684,209.419,210.716,39765800,-0.00588485,-0.005887792,203.88975,203.46932,0.011251673,Uptrend,257.854,-0.182808876
1160,AAPL,7/14/25,209.489,210.467,207.104,208.182,38840100,-0.0120288,-0.012025665,204.3598,203.39744,0.011749145,Uptrend,257.854,-0.192636143
1161,AAPL,7/15/25,208.78,211.445,208.481,208.671,42296300,0.00234883,0.002348906,204.9915,203.319,0.011116331,Uptrend,257.854,-0.190739721
1162,AAPL,7/16/25,209.858,211.954,208.202,209.718,47490500,0.00502134,0.005017468,205.57725,203.42036,0.011009949,Uptrend,257.854,-0.186679284
1163,AAPL,7/17/25,210.128,211.355,209.15,209.579,48068100,-0.000666249,-0.000662795,206.29475,203.6477,0.01031109,Uptrend,257.854,-0.187218348
1164,AAPL,7/18/25,210.427,211.345,209.259,210.736,48974600,0.00552328,0.005520591,207.0232,203.90576,0.010316723,Uptrend,257.854,-0.182731313
1165,AAPL,7/21/25,211.654,215.327,211.185,212.034,51377400,0.00615583,0.006159365,207.596,204.23482,0.009347301,Uptrend,257.854,-0.177697457
1166,AAPL,7/22/25,212.692,214.498,211.784,213.95,46404100,0.00903623,0.009036287,208.23965,204.57748,0.009449102,Uptrend,257.854,-0.170266895
1167,AAPL,7/23/25,214.548,214.698,211.964,213.7,46989300,-0.00116607,-0.001168497,208.9307,204.89442,0.009265031,Uptrend,257.854,-0.171236436
1168,AAPL,7/24/25,213.451,215.237,213.081,213.311,46022600,-0.0018212,-0.001820309,209.5394,204.9537,0.009308703,Uptrend,257.854,-0.172745042
1169,AAPL,7/25/25,214.249,214.788,212.952,213.431,40268800,0.000561463,0.000562559,210.18205,204.97266,0.009229473,Uptrend,257.854,-0.172279662
1170,AAPL,7/28/25,213.58,214.399,212.612,213.6,37858000,0.000794859,0.000791825,210.82915,205.00698,0.009223723,Uptrend,257.854,-0.171624252
1171,AAPL,7/29/25,213.73,214.359,210.377,210.826,51411700,-0.0129877,-0.012986891,211.1335,205.00338,0.008965607,Uptrend,257.854,-0.182382278
1172,AAPL,7/30/25,211.455,211.944,207.284,208.611,45512500,-0.0105079,-0.010506294,211.1949,204.95928,0.008926298,Uptrend,257.854,-0.190972411
1173,AAPL,7/31/25,208.052,209.399,206.725,207.134,80698400,-0.00707961,-0.007080164,210.9519,204.93514,0.007420545,Uptrend,257.854,-0.196700458
1174,AAPL,8/1/25,210.427,213.131,201.077,201.955,104434500,-0.0250036,-0.025003138,210.3946,204.84574,0.008973551,Uptrend,257.854,-0.216785468
1175,AAPL,8/4/25,204.08,207.443,201.256,202.923,75109300,0.00479294,0.004793147,210.0653,204.8709,0.008460012,Uptrend,257.854,-0.213031405
1176,AAPL,8/5/25,202.973,204.909,201.735,202.494,44155100,-0.00211464,-0.002114102,209.71155,204.90204,0.008449438,Uptrend,257.854,-0.214695138
1177,AAPL,8/6/25,205.198,214.928,205.158,212.802,108483100,0.0509068,0.050905212,209.81685,205.26088,0.014452021,Uptrend,257.854,-0.174719027
1178,AAPL,8/7/25,218.42,220.386,216.125,219.568,90224800,0.0317936,0.031794814,210.19705,205.65646,0.016024913,Uptrend,257.854,-0.148479372
1179,AAPL,8/8/25,220.366,230.515,218.789,228.868,113854000,0.0423579,0.042355899,211.10465,206.23384,0.018267582,Uptrend,257.854,-0.11241245
1180,AAPL,8/11/25,227.699,229.338,224.542,226.96,61806100,-0.00833743,-0.008336683,212.04355,206.78244,0.01811207,Uptrend,257.854,-0.119811987
1181,AAPL,8/12/25,227.789,230.576,226.85,229.428,55626200,0.0108724,0.010874163,213.0814,207.36244,0.018159525,Uptrend,257.854,-0.110240679
1182,AAPL,8/13/25,230.846,234.772,230.207,233.104,69878500,0.0160245,0.016022456,214.2507,207.999,0.018329,Uptrend,257.854,-0.095984549
1183,AAPL,8/14/25,233.833,234.892,230.626,232.555,51916300,-0.00235718,-0.002355172,215.3995,208.59324,0.018362615,Uptrend,257.854,-0.098113661
1184,AAPL,8/15/25,233.773,234.053,229.118,231.366,56038700,-0.00511217,-0.005112769,216.431,209.17268,0.018511429,Uptrend,257.854,-0.102724798
1185,AAPL,8/18/25,231.476,232.894,229.887,230.666,37476200,-0.00302253,-0.003025509,217.3626,209.78184,0.018590752,Uptrend,257.854,-0.105439512
1186,AAPL,8/19/25,231.056,232.644,229.128,230.337,39402600,-0.00142926,-0.001426305,218.18195,210.31874,0.018600074,Uptrend,257.854,-0.106715428
1187,AAPL,8/20/25,229.757,230.247,225.551,225.791,42263900,-0.0197346,-0.019736299,218.7865,210.81402,0.019313872,Uptrend,257.854,-0.12434556
1188,AAPL,8/21/25,226.051,226.301,223.563,224.682,30621200,-0.00491125,-0.004911622,219.35505,211.26278,0.019366186,Uptrend,257.854,-0.128646443
1189,AAPL,8/22/25,225.951,228.868,225.192,227.539,42477800,0.0127167,0.012715749,220.06045,211.84632,0.019483416,Uptrend,257.854,-0.11756653
1190,AAPL,8/25/25,226.261,229.078,226.011,226.94,30983100,-0.00263432,-0.002632516,220.72745,212.4095,0.019522392,Uptrend,257.854,-0.11988955
1191,AAPL,8/26/25,226.65,229.268,224.472,229.088,54575100,0.0094647,0.009465057,221.64055,213.07052,0.019184502,Uptrend,257.854,-0.111559254
1192,AAPL,8/27/25,228.389,230.676,228.039,230.267,31259500,0.0051459,0.005146494,222.72335,213.7158,0.01886381,Uptrend,257.854,-0.1069869
1193,AAPL,8/28/25,230.596,233.184,229.118,232.335,38074700,0.00898086,0.008980879,223.9834,214.45792,0.018657983,Uptrend,257.854,-0.098966857
